good_model,bad_model,round,mean_cumulative_score,mean_reward,n
gpt-4.1,gpt-4o-mini,16,174.82222222222222,9.155555555555555,90
gpt-4.1,gpt-4o-mini,17,183.95555555555555,9.133333333333333,90
gpt-4.1,gpt-4o-mini,18,193.6888888888889,9.733333333333333,90
gpt-4.1,gpt-4o-mini,19,202.6,8.911111111111111,90
gpt-4.1,gpt-4o-mini,20,211.82222222222222,9.222222222222221,90
gpt-4.1,gpt-4o-mini,21,220.82222222222222,9.0,90
gpt-4.1,gpt-4o-mini,22,230.22222222222223,9.4,90
gpt-4.1,gpt-4o-mini,23,238.82222222222222,8.6,90
gpt-4.1,gpt-4o-mini,24,247.6888888888889,8.866666666666667,90
gpt-4.1,gpt-4o-mini,25,257.0444444444444,9.355555555555556,90
gpt-4.1,gpt-4o-mini,26,266.2,9.155555555555555,90
gpt-4.1,gpt-4o-mini,27,275.0444444444444,8.844444444444445,90
gpt-4.1,gpt-4o-mini,28,283.8,8.755555555555556,90
gpt-4.1,gpt-4o-mini,29,292.4888888888889,8.688888888888888,90
gpt-4.1,gpt-4o-mini,30,300.93333333333334,8.444444444444445,90
gpt-4.1,gpt-5.1,1,8.0,8.0,196
gpt-4.1,gpt-5.1,2,18.714285714285715,10.714285714285714,196
gpt-4.1,gpt-5.1,3,32.0,13.285714285714286,196
gpt-4.1,gpt-5.1,4,47.3469387755102,15.346938775510203,196
gpt-4.1,gpt-5.1,5,58.58163265306123,11.23469387755102,196
gpt-4.1,gpt-5.1,6,70.48979591836735,11.908163265306122,196
gpt-4.1,gpt-5.1,7,82.91836734693878,12.428571428571429,196
gpt-4.1,gpt-5.1,8,94.44897959183673,11.53061224489796,196
gpt-4.1,gpt-5.1,9,106.10204081632654,11.653061224489797,196
gpt-4.1,gpt-5.1,10,116.93877551020408,10.83673469387755,196
gpt-4.1,gpt-5.1,11,128.5,11.561224489795919,196
gpt-4.1,gpt-5.1,12,139.08163265306123,10.581632653061224,196
gpt-4.1,gpt-5.1,13,149.5,10.418367346938776,196
gpt-4.1,gpt-5.1,14,159.72448979591837,10.224489795918368,196
gpt-4.1,gpt-5.1,15,169.8469387755102,10.122448979591837,196
gpt-4.1,gpt-5.1,16,181.1122448979592,11.26530612244898,196
gpt-4.1,gpt-5.1,17,191.05102040816325,9.938775510204081,196
gpt-4.1,gpt-5.1,18,201.4591836734694,10.408163265306122,196
gpt-4.1,gpt-5.1,19,212.23469387755102,10.775510204081632,196
gpt-4.1,gpt-5.1,20,221.9387755102041,9.704081632653061,196
gpt-4.1,gpt-5.1,21,232.1326530612245,10.193877551020408,196
gpt-4.1,gpt-5.1,22,241.72448979591837,9.591836734693878,196
gpt-4.1,gpt-5.1,23,252.35714285714286,10.63265306122449,196
gpt-4.1,gpt-5.1,24,262.734693877551,10.377551020408163,196
gpt-4.1,gpt-5.1,25,273.0612244897959,10.326530612244898,196
gpt-4.1,gpt-5.1,26,283.9183673469388,10.857142857142858,196
gpt-4.1,gpt-5.1,27,293.8469387755102,9.928571428571429,196
gpt-4.1,gpt-5.1,28,304.8673469387755,11.020408163265307,196
gpt-4.1,gpt-5.1,29,314.92857142857144,10.061224489795919,196
gpt-4.1,gpt-5.1,30,325.8775510204082,10.948979591836734,196
gpt-4.1,gpt-5.4,1,8.0,8.0,196
gpt-4.1,gpt-5.4,2,18.70408163265306,10.704081632653061,196
gpt-4.1,gpt-5.4,3,30.285714285714285,11.581632653061224,196
gpt-4.1,gpt-5.4,4,42.3469387755102,12.061224489795919,196
gpt-4.1,gpt-5.4,5,51.3469387755102,9.0,196
gpt-4.1,gpt-5.4,6,60.142857142857146,8.795918367346939,196
gpt-4.1,gpt-5.4,7,68.55102040816327,8.408163265306122,196
gpt-4.1,gpt-5.4,8,76.90816326530613,8.357142857142858,196
gpt-4.1,gpt-5.4,9,85.06122448979592,8.153061224489797,196
gpt-4.1,gpt-5.4,10,92.98979591836735,7.928571428571429,196
gpt-4.1,gpt-5.4,11,101.03061224489795,8.040816326530612,196
gpt-4.1,gpt-5.4,12,109.07142857142857,8.040816326530612,196
gpt-4.1,gpt-5.4,13,117.11224489795919,8.040816326530612,196
gpt-4.1,gpt-5.4,14,125.09183673469387,7.979591836734694,196
gpt-4.1,gpt-5.4,15,133.14285714285714,8.051020408163266,196
gpt-4.1,gpt-5.4,16,141.19387755102042,8.051020408163266,196
gpt-4.1,gpt-5.4,17,149.23469387755102,8.040816326530612,196
gpt-4.1,gpt-5.4,18,157.33673469387756,8.10204081632653,196
gpt-4.1,gpt-5.4,19,165.31632653061226,7.979591836734694,196
gpt-4.1,gpt-5.4,20,173.3673469387755,8.051020408163266,196
gpt-4.1,gpt-5.4,21,181.4591836734694,8.091836734693878,196
gpt-4.1,gpt-5.4,22,189.5612244897959,8.10204081632653,196
gpt-4.1,gpt-5.4,23,197.66326530612244,8.10204081632653,196
gpt-4.1,gpt-5.4,24,205.70408163265307,8.040816326530612,196
gpt-4.1,gpt-5.4,25,213.75510204081633,8.051020408163266,196
gpt-4.1,gpt-5.4,26,221.73469387755102,7.979591836734694,196
gpt-4.1,gpt-5.4,27,229.83673469387756,8.10204081632653,196
gpt-4.1,gpt-5.4,28,237.9387755102041,8.10204081632653,196
